pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,boldvoice,108128217985547,BoldVoice,26439561832410220,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,39,41,40,39,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1415666166993444,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,40,66,53,66,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1478144069915977,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,42,69,56,69,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1642420553654694,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,43,50,46,50,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,26275424918801610,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,44,52,48,52,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1494634152394948,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,45,67,56,67,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2003250420554803,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-27,8,False,45,135,90,45,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2790652427959234,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,46,61,54,61,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1586883210104959,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-26,9,False,47,73,60,73,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1473363390715612,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,48,60,54,60,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1511094910667836,Image,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,48,60,54,48,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,3904596519849113,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-21,14,False,49,77,63,77,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1332003088264765,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,50,72,61,72,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1305486864356244,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,51,75,63,75,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1310523257326646,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,51,91,71,51,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1481907283342031,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,52,54,53,54,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1876706343044844,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,54,68,61,68,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1296822448672530,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,55,78,66,78,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2734314866939391,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,56,70,63,70,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,928273223537964,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,57,76,66,76,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1405722054916829,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,58,62,60,62,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1437273745095661,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,58,58,58,58,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2087867952167288,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,59,65,62,65,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,949901594701558,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,61,84,72,84,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1322861493307876,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,62,88,75,88,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1314742544092975,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,63,83,73,83,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1546269646835662,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,63,66,64,63,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2579382089177756,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,64,90,77,90,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1960878574534660,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,64,88,76,64,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,27340113785586337,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,65,98,82,98,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,863837952726608,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,67,102,84,102,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1804857893808381,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,68,95,82,95,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2032153271036758,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,69,85,77,85,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1808833933835246,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,70,80,75,80,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1462716691717579,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,71,104,88,104,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,4411296675821681,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,71,71,71,71,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2767561233611912,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,72,89,80,89,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1553935879645032,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,74,82,78,82,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1733666961313121,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,74,74,74,74,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1558395449628575,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,75,106,90,106,True,False,167,0.0,False,False,False,new,high
