ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1464052005475525,Marathi,Marathi,agree,false
1464075105326463,Bengali,Bengali,agree,false
1464612034684616,Bengali,Bengali,agree,false
1464662801454982,Telugu,Telugu,agree,false
1465320305236974,English,Hindi,disagree,true
1465353234806275,Gujarati,Gujarati,agree,false
1465573407768187,Bengali,Bengali,agree,false
1465693778484060,Tamil,Tamil,agree,false
1466038664677722,Telugu,Telugu,agree,false
1466073121784359,Malayalam,Malayalam,agree,false
1466430171199966,Kannada,Kannada,agree,false
1466438068588297,Marathi,Marathi,agree,false
1466740917939266,Telugu,Telugu,agree,false
1466842838079048,English,Hindi,disagree,true
1467014958458046,English,Hindi,disagree,true
1467122958239207,Telugu,Telugu,agree,false
1467304325131224,Gujarati,Gujarati,agree,false
1469654061103002,Kannada,Kannada,agree,false
1470635231402391,Bengali,Bengali,agree,false
1470843210799466,Kannada,Kannada,agree,false
1471243361454315,Telugu,Telugu,agree,false
1471379488011997,Marathi,Marathi,agree,false
1471962381341513,Tamil,Tamil,agree,false
1472728870657417,Kannada,Kannada,agree,false
1472857190875267,Malayalam,Malayalam,agree,false
1473041047655931,Telugu,Telugu,agree,false
1473242320615654,Tamil,Tamil,agree,false
1474458497230488,Marathi,Marathi,agree,false
1475985547091281,Tamil,Tamil,agree,false
1476070434166479,Gujarati,Gujarati,agree,false
1477266293525820,Bengali,Bengali,agree,false
1477533853844045,Kannada,Kannada,agree,false
1478141534102605,English,English,agree,false
1478416939939741,Bengali,Bengali,agree,false
1478654923647189,Telugu,Telugu,agree,false
1478931053614763,Malayalam,Malayalam,agree,false
1479084277297129,English,English,agree,false
1479164583678882,Telugu,Telugu,agree,false
1481353283633101,Marathi,Marathi,agree,false
1481447600050949,English,Hindi,disagree,true
1481710299952338,English,Hindi,disagree,true
1481711833647092,Gujarati,Gujarati,agree,false
1481880370348464,English,Hindi,disagree,true
1481936509872557,English,Hindi,disagree,true
1482275693353748,Bengali,Bengali,agree,false
1482736313641865,Tamil,Tamil,agree,false
1483274040193786,Kannada,Kannada,agree,false
1483474123320143,Gujarati,Gujarati,agree,false
1483495626521470,Marathi,Marathi,agree,false
1484045400015832,Bengali,Bengali,agree,false
1484771760111193,Kannada,Kannada,agree,false
1484875443337231,Gujarati,Gujarati,agree,false
