ad_id,language_copy,language_audio,agreement_status,is_codeswitch
2394547624289953,Hindi,Hindi,agree,false
2405155876661280,Hindi,Hindi,agree,false
2443549536146368,Hindi,Hindi,agree,false
2476486649480700,Hindi,Hindi,agree,false
2477522462687760,Hindi,Hindi,agree,false
2495597997534719,Hindi,Hindi,agree,false
2502975900173757,Hindi,Hindi,agree,false
2513169462430169,Hindi,Hindi,agree,false
2530265374081304,Hindi,Hindi,agree,false
2537460143369482,Hindi,Hindi,agree,false
2542296809552034,Hindi,Hindi,agree,false
2547642902357219,Hindi,Hindi,agree,false
2550493988708275,Hindi,Hindi,agree,false
27025689503764135,Hindi,Hindi,agree,false
27046815901606274,Hindi,Hindi,agree,false
27086569487680423,Hindi,Hindi,agree,false
27112597761755705,Hindi,Hindi,agree,false
27190213957294951,Hindi,Hindi,agree,false
27263311033329854,Kannada,Telugu,disagree,true
27300571286274854,Hindi,Hindi,agree,false
27332735843019610,Telugu,Telugu,agree,false
27378272641859957,Hindi,Hindi,agree,false
27425351817092054,Hindi,Hindi,agree,false
27501723209413940,Hindi,Hindi,agree,false
27773707592253432,Hindi,Hindi,agree,false
27780816231536833,Hindi,Hindi,agree,false
2783272062068479,Hindi,Hindi,agree,false
28143550175230534,Telugu,Telugu,agree,false
2854629138250861,Hindi,Hindi,agree,false
2858796461164119,Hindi,Hindi,agree,false
2901157483566484,Hindi,Hindi,agree,false
2906298679721315,Hindi,Hindi,agree,false
2925368487811208,Hindi,Hindi,agree,false
2966208757057233,Hindi,Hindi,agree,false
3094696644053574,Hindi,Hindi,agree,false
3182634025458791,Hindi,Hindi,agree,false
3317817078397163,Kannada,Telugu,disagree,true
3339788186203354,Hindi,Hindi,agree,false
37044784298446099,Hindi,Hindi,agree,false
3900871466887984,Hindi,Punjabi,disagree,true
3902435889897830,Hindi,Hindi,agree,false
3922291927907491,Hindi,Hindi,agree,false
3940426322930684,Hindi,Hindi,agree,false
3966572533645858,Hindi,Hindi,agree,false
4016918815109601,Hindi,Hindi,agree,false
4143356245955538,Hindi,Hindi,agree,false
4217696101817149,Hindi,Hindi,agree,false
4233618053522585,Hindi,Hindi,agree,false
4302593519993092,Hindi,Hindi,agree,false
