pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,speakeasy,1055960967600140,English Learning App,1667798627831923,Video,Hindi,ai-avatar-only,skit-narrative,ai-generated,speakeasy-g0036,original,original,2026-06-25,2026-06-27,3,1,2026-06-23,4,False,69,123,118,69,False,True,210,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,984120534451996,Video,Telugu,ai+human,split-screen,mixed,speakeasy-g0001,translation_replica,replica,2026-06-26,2026-06-26,1,1,2026-06-24,2,False,69,69,69,69,False,True,172,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1632885817785834,Video,,,,,,,,2026-06-27,2026-06-30,3,2,2026-06-25,5,False,69,159,103,69,True,False,210,0.0,True,False,False,undecided,high
facebook,speakeasy,1055960967600140,English Learning App,1967672820594747,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0083,unique,original,2026-06-22,2026-06-22,1,1,2026-06-16,6,False,70,70,70,70,False,True,111,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,2015338379345824,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0008,reworded_replica,replica,2026-06-24,2026-06-24,1,1,2026-06-21,3,False,70,70,70,70,False,True,112,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,2542296809552034,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0166,unique,original,2026-06-24,2026-06-25,2,1,2026-06-21,4,False,70,104,87,70,False,True,136,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1005331035549216,Video,Hindi,ai+human,skit-narrative,ai-generated,speakeasy-g0105,unique,original,2026-06-25,2026-06-27,3,1,2026-06-23,4,False,70,135,96,135,False,True,210,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1012011861418746,Video,,,,,,,,2026-06-27,2026-06-30,3,2,2026-06-25,5,False,70,158,102,70,True,False,210,0.0,True,False,False,undecided,high
facebook,speakeasy,1055960967600140,English Learning App,1007394932018188,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0024,original,original,2026-06-24,2026-06-24,1,1,2026-06-21,3,False,71,71,71,71,False,True,112,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1356496527096530,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0124,unique,original,2026-06-24,2026-06-25,2,1,2026-06-21,4,False,71,107,89,71,False,True,136,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,3317817078397163,Video,Telugu,ai+human,skit-narrative,mixed,speakeasy-g0002,translation_replica,replica,2026-06-26,2026-06-26,1,1,2026-06-24,2,False,71,71,71,71,False,True,172,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1059707300038494,Video,Hindi,ai-avatar-only,text-on-screen-only,ai-generated,speakeasy-g0013,translation_replica,replica,2026-06-26,2026-06-27,2,1,2026-06-24,3,False,71,144,108,71,False,True,210,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1367575215342787,Video,,,,,,,,2026-06-27,2026-06-30,3,2,2026-06-25,5,False,71,152,97,71,True,False,210,0.0,True,False,False,undecided,high
facebook,speakeasy,1055960967600140,English Learning App,2854629138250861,Video,Hindi,ai+human,talking-head,mixed,speakeasy-g0004,reworded_replica,replica,2026-06-24,2026-06-24,1,1,2026-06-21,3,False,72,72,72,72,False,True,112,0.0,True,False,False,loser,low
facebook,speakeasy,1055960967600140,English Learning App,1738837290701811,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0140,unique,original,2026-06-24,2026-06-25,2,1,2026-06-21,4,False,72,103,88,72,False,True,136,0.0,True,False,False,loser,low
