pipeline,competitor,page_id,page_name,ad_id,media_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,praktika-ai,104781132385804,Praktika,1985750275364255,Video,2026-05-28,2026-06-04,2,2,2026-05-06,29,False,496,518,507,518,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1484106579616163,Video,2026-06-04,2026-06-04,1,1,,0,True,496,496,496,496,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,2402705613488296,Video,2026-05-28,2026-05-28,1,1,2026-05-17,11,False,497,497,497,497,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,859043630574337,Video,2026-05-28,2026-05-28,1,1,2026-05-19,9,False,499,499,499,499,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,4374792422849274,Video,2026-06-04,2026-06-04,1,1,,0,True,499,499,499,499,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,26853737514247807,Video,2026-05-28,2026-05-28,1,1,2026-05-17,11,False,500,500,500,500,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,2136348897155470,Video,2026-06-04,2026-06-04,1,1,,0,True,500,500,500,500,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1451111892967202,Video,2026-05-28,2026-06-04,2,2,2026-05-11,24,False,501,513,507,501,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1326401542708334,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,502,534,518,534,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1522052379553454,Video,2026-06-04,2026-06-04,1,1,,0,True,502,502,502,502,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,913039295126715,Video,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,503,503,503,503,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,3898351107139041,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,504,543,524,543,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1293921149524983,Video,2026-06-04,2026-06-04,1,1,,0,True,505,505,505,505,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1462125455128384,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,506,563,534,563,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,812877715035760,Video,2026-06-04,2026-06-04,1,1,,0,True,506,506,506,506,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,945841668285986,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,507,520,514,520,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,997686536130437,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,508,1681,1094,508,True,False,1825,0.0,False,False,True,new,high
facebook,praktika-ai,104781132385804,Praktika,932735703101774,Video,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,509,522,516,522,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1609095630150262,Image,2026-06-04,2026-06-04,1,1,,0,True,509,509,509,509,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,985745917712642,Video,2026-05-28,2026-05-28,1,1,2026-05-24,4,False,510,510,510,510,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1420064292778353,Video,2026-05-28,2026-06-04,2,2,2026-04-02,63,False,511,573,542,573,True,False,1825,0.0,False,False,False,new,high
