row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls,page_rank
20,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR05925405034102652929,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR05925405034102652929?region=IN,Image,2025-11-20,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1275722104518683084,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR05925405034102652929.jpg,2026-06-03,2026-06-22,,,,,20
21,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-22,"2208,2756,2620,2724,2348,2203,2380,2442,2642,2804,2356,2616,2276,2792,2528,2703,2191,2300,2705,2056,2040,2250",0,4,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,21
22,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-22,"2208,2756,2620,2724,2348,2203,2380,2442,2642,2804,2356,2616,2276,2792,2528,2703,2191,2300,2705,2056,2040,2250",1,4,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,22
23,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-22,"2208,2756,2620,2724,2348,2203,2380,2442,2642,2804,2356,2616,2276,2792,2528,2703,2191,2300,2705,2056,2040,2250",2,4,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,23
24,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06135470613239693313,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06135470613239693313?region=IN,YouTubeVideo,2026-06-22,"2208,2756,2620,2724,2348,2203,2380,2442,2642,2804,2356,2616,2276,2792,2528,2703,2191,2300,2705,2056,2040,2250",3,4,,,,,,,,,,,,,,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,24
25,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06235048313305956353,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06235048313305956353?region=IN,Image,2026-06-21,"2608,2124,2840,2392,2356,2484,2250,2616",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/10713890122016732029,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR06235048313305956353.jpg,2026-06-03,2026-06-22,,,,,25
26,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06721449580006735873,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06721449580006735873?region=IN,Image,2026-06-21,"2586,2400,2312,2756,2203,2704,2512,2300,2175,2440,2276,2638,2804,2792,2348,2642,2504,2076,2705,2474,2254,2250,2258,2050,2818,2428,2540,2104,2616,2703,2012,2442,2056,2528,2620,2356,2380,2032,2752,2191,2724,2100,2470",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3391447691026354871,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR06721449580006735873.jpg,2026-06-03,2026-06-22,,,,,26
27,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06721449580006735873,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06721449580006735873?region=IN,Image,2026-06-21,"2586,2400,2312,2756,2203,2704,2512,2300,2175,2440,2276,2638,2804,2792,2348,2642,2504,2076,2705,2474,2254,2250,2258,2050,2818,2428,2540,2104,2616,2703,2012,2442,2056,2528,2620,2356,2380,2032,2752,2191,2724,2100,2470",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3391447691026354871,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR06721449580006735873.jpg,2026-06-03,2026-06-22,,,,,27
28,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-22,"2428,2818,2050,2191,2674,2705,2254,2196,2233,2372,2356,2788,2032,2300,2410,2208,2586,2352,2368,2764,2608,2203,2498,2484,2804,2642,2616,2012,2076,2008,2100,2470,2250,2840,2620,2398,2528,2056,2703,2724,2752,2458,2214,2404,2360,2380,2442,2704,2070,2504,2040,2756,2578,2826,2348,2144,2792,2276,2682,2440,2246",0,4,Busuu aumenta la tua sicurezza. Impara gratis ed esercitati con i madrelingua.,Installa,,,,,,,,,,,00:00,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,28
29,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-22,"2428,2818,2050,2191,2674,2705,2254,2196,2233,2372,2356,2788,2032,2300,2410,2208,2586,2352,2368,2764,2608,2203,2498,2484,2804,2642,2616,2012,2076,2008,2100,2470,2250,2840,2620,2398,2528,2056,2703,2724,2752,2458,2214,2404,2360,2380,2442,2704,2070,2504,2040,2756,2578,2826,2348,2144,2792,2276,2682,2440,2246",1,4,Busuu aumenta la tua sicurezza. Impara gratis ed esercitati con i madrelingua.,Installa,,,,,,,,,,,00:00,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,29
