pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2064170941198122,2026-05-28,193,193,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2089450765784944,2026-05-28,194,194,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,3543351422487177,2026-05-28,195,195,2026-04-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1926668814647456,2026-05-28,196,196,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1257374982563478,2026-05-28,197,197,2026-03-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,918241314345252,2026-05-28,198,198,2026-04-02,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,989096050185583,2026-05-28,199,199,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1438577047554181,2026-05-28,200,200,2026-04-16,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1528447215609070,2026-05-28,201,201,2026-05-12,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1306990348075702,2026-05-28,202,202,2026-05-27,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,956491790377504,2026-05-28,203,203,2026-03-17,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,929666053414186,2026-05-28,204,204,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,920985884303047,2026-05-28,205,205,2026-05-22,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1001123389070218,2026-05-28,206,206,2026-05-24,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,1231573972491609,2026-05-28,207,207,2026-02-11,Video,false
facebook,learna-ai,521600091028761,Learna AI: English Learning App,2384322885404007,2026-05-28,208,208,2026-04-14,Video,false
