ad_library_id,creative_index_in_ad,ad_media_type,creative_aspect_ratio,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
1606118297312157,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/678972243_1292361972865755_9165105785078671214_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=a07aHluad1QQ7kNvwH47jPg&_nc_oc=Ado8c7hRxUXa1t0tzynbJB5dPcXrRpk-WfKc_hE06WaShsUSr3KSLWg6oDPFdvlDua0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af4b55x5CvefdGlFhB7S0pnYCQ0mEIyE_m-2k9jAVfb7mg&oe=6A1F3E79,2026-06-02T20:35:05.000Z,2026-05-29
1866814417349033,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/675203429_957971897152981_979755092728779570_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qpnkFlm3XV0Q7kNvwE4l9fQ&_nc_oc=AdoYU3vcmVkl66kb-h4HK9716DUxExqAWe0HiJ1S7jhPOcg9pCeqIYwH0Yvi5BP0ifY&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af6ILaeZzCtKZfaOJXGm-Q6RzTm6ve7xBnw-QHqhoSGRVw&oe=6A1F0D23,2026-06-02T17:04:35.000Z,2026-05-29
2136362423886748,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/675388467_970494838758638_8229677042501940356_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=FdIdzWE2j1IQ7kNvwHCm3OX&_nc_oc=AdqFkJ8e7H_OIKY3ghCkoV8rDLVM-tOPtveCplLotvsXlLQGJWZxvXXvMYX5KTWxj0A&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af7facEdT1jBRQYL1RDAP3ouZu5GzKUREd9yJZFjnWnGAQ&oe=6A1F1B94,2026-06-02T18:06:12.000Z,2026-05-29
1359858322621284,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/695810630_2248106889058676_5077608323941955071_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Esf_9b5KZzcQ7kNvwGW7Ykz&_nc_oc=Ado9sTPj9T7nvNJdeBzODdzKmdBvyTfCOmdCrrs8Dq2Nl5-lRZRtWh_nsXKG7l3f4M0&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af5YI2XhudDdnTG8e8K6NrJG3ljD4uy7TV-1HhG7AQ_CKg&oe=6A1F1E7F,2026-06-02T18:18:39.000Z,2026-05-29
2420278411730655,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/706198347_2216506119165832_4357906703712134451_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=i5KNnGLI3DoQ7kNvwECGlAQ&_nc_oc=AdpADKI32lSKEx4I-YrVec6WPGeOxSOwqC8HrCMnwobEb3gGXbGrsdI6x1khPDWOi2c&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af4JGJCJ4vQZatIvWsJE4CP_mr25xT2dlTZxyl2r2vQH3w&oe=6A1F13B3,2026-06-02T17:32:35.000Z,2026-05-29
1661412498395048,0,Image,,,,2026-05-29
4247009298948000,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/663369666_4463220630563352_5423176049435237090_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=pZnPgJIKg7kQ7kNvwEgMbox&_nc_oc=Adq-663dwOmwDF9OmNzuS0M0khGDWwW8cArwHUJ6wIShcYahKTPQAShdQQ90Ln3aKTU&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af70O-Lt_N_g2sD_PFBEly9nDHrbCCbXhLY7GqI3-3cq2Q&oe=6A1F2380,2026-06-02T18:40:00.000Z,2026-05-29
1691199008788095,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/701370072_974750188523712_3776115149650985203_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9l_MMXEaetwQ7kNvwFfUcN9&_nc_oc=AdovP2aDv7ORViUFCDaJjGvFdFwzLQrUadqsQOBe6_qxEpxvX5Lir-RI4BgTOBSwcOM&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af7drzUGjG2a6LKPYDRp08V2lEIBROsiP_9_6t56KMSG0A&oe=6A1F2DA2,2026-06-02T19:23:14.000Z,2026-05-29
849832041471607,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/679641537_835104705684525_1739923949490231998_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xGG_PEOpoIQQ7kNvwGCA-jl&_nc_oc=AdqCEqOULU1i2G10YGOtfwy2LnujVWix0LLRmk-hCbLFHMB8bBKPjGbYBaro8tCP6dg&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af4wwQ-HF-dOtZNoLqGtWjYtI3RGasaWekkxD3wYZrKQdA&oe=6A1F39AC,2026-06-02T20:14:36.000Z,2026-05-29
902158699487357,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/662243698_1653526805680891_6249042621646096588_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9Ye-8RVhKhwQ7kNvwEKRNkK&_nc_oc=AdpzeieV5576FezpJ1HqVaQby9BTkOMCXoRtbcJxpQjEtohTF0G-U-U_llSdn_AAY9o&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af4LDVxC1d51e5EqhZH_lALSJzISqB4rxwe8DuMg8aT8Gw&oe=6A1F36DE,2026-06-02T20:02:38.000Z,2026-05-29
