row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
27,27,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00703816754651987969,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00703816754651987969?region=IN,YouTubeVideo,2026-06-15,2356,0,4,Speak English Confidently,CATEGORY,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
28,28,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00703816754651987969,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00703816754651987969?region=IN,YouTubeVideo,2026-06-15,2356,1,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
29,29,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00703816754651987969,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00703816754651987969?region=IN,YouTubeVideo,2026-06-15,2356,2,4,Speak English Confidently,CATEGORY,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
30,30,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00703816754651987969,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00703816754651987969?region=IN,YouTubeVideo,2026-06-15,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
31,31,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00726059943601373185,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00726059943601373185?region=IN,YouTubeVideo,2025-08-05,2356,0,3,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
32,32,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00726059943601373185,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00726059943601373185?region=IN,YouTubeVideo,2025-08-05,2356,1,3,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
33,33,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00726059943601373185,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00726059943601373185?region=IN,YouTubeVideo,2025-08-05,2356,2,3,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
34,34,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00843402298418790401,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00843402298418790401?region=IN,YouTubeVideo,2026-03-26,2356,0,3,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
35,35,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00843402298418790401,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00843402298418790401?region=IN,YouTubeVideo,2026-03-26,2356,1,3,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
36,36,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00843402298418790401,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00843402298418790401?region=IN,YouTubeVideo,2026-03-26,2356,2,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
37,37,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00860993548160335873,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00860993548160335873?region=IN,YouTubeVideo,2026-06-14,2356,0,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
38,38,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00860993548160335873,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00860993548160335873?region=IN,YouTubeVideo,2026-06-14,2356,1,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
39,39,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR00860993548160335873,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR00860993548160335873?region=IN,YouTubeVideo,2026-06-14,2356,2,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
40,40,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01241396645493473281,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01241396645493473281?region=IN,YouTubeVideo,2025-09-08,"2356,2050",0,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
41,41,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01241396645493473281,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01241396645493473281?region=IN,YouTubeVideo,2025-09-08,"2356,2050",1,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
42,42,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01241396645493473281,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01241396645493473281?region=IN,YouTubeVideo,2025-09-08,"2356,2050",2,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
43,43,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01241396645493473281,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01241396645493473281?region=IN,YouTubeVideo,2025-09-08,"2356,2050",3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
44,44,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01282886948695834625,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01282886948695834625?region=IN,Image,2026-05-16,2356,0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/8660445369775126952,,2026-06-15,
45,45,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01304809423847292929,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01304809423847292929?region=IN,YouTubeVideo,2026-06-14,2356,0,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
46,46,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01304809423847292929,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01304809423847292929?region=IN,YouTubeVideo,2026-06-14,2356,1,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
47,47,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01304809423847292929,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01304809423847292929?region=IN,YouTubeVideo,2026-06-14,2356,2,4,ಇನ್\u200cಸ್ಟಾಲ್,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
48,48,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01304809423847292929,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01304809423847292929?region=IN,YouTubeVideo,2026-06-14,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
49,49,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01362799453802594305,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01362799453802594305?region=IN,Image,2026-06-14,2356,0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/2588139274977326573,,2026-06-15,
50,50,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01362799453802594305,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01362799453802594305?region=IN,Image,2026-06-14,2356,1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/2588139274977326573,,2026-06-15,
51,51,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01362799453802594305,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01362799453802594305?region=IN,Image,2026-06-14,2356,2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/2588139274977326573,,2026-06-15,
52,52,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01621832135469957121,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01621832135469957121?region=IN,YouTubeVideo,2026-05-15,2356,0,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
53,53,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01621832135469957121,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01621832135469957121?region=IN,YouTubeVideo,2026-05-15,2356,1,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
54,54,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01621832135469957121,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01621832135469957121?region=IN,YouTubeVideo,2026-05-15,2356,2,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
55,55,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01621832135469957121,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01621832135469957121?region=IN,YouTubeVideo,2026-05-15,2356,3,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
56,56,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01621832135469957121,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01621832135469957121?region=IN,YouTubeVideo,2026-05-15,2356,4,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
57,57,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01810583028867530753,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01810583028867530753?region=IN,YouTubeVideo,2025-08-24,2356,0,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
58,58,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01810583028867530753,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01810583028867530753?region=IN,YouTubeVideo,2025-08-24,2356,1,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
59,59,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01810583028867530753,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01810583028867530753?region=IN,YouTubeVideo,2025-08-24,2356,2,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
60,60,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01810583028867530753,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01810583028867530753?region=IN,YouTubeVideo,2025-08-24,2356,3,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
61,61,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01948288064153452545,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01948288064153452545?region=IN,YouTubeVideo,2025-07-18,2356,0,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
62,62,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01948288064153452545,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01948288064153452545?region=IN,YouTubeVideo,2025-07-18,2356,1,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
63,63,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01948288064153452545,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01948288064153452545?region=IN,YouTubeVideo,2025-07-18,2356,2,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
64,64,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01948288064153452545,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01948288064153452545?region=IN,YouTubeVideo,2025-07-18,2356,3,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
65,65,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR01948288064153452545,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR01948288064153452545?region=IN,YouTubeVideo,2025-07-18,2356,4,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
66,66,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02000079459868213249,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02000079459868213249?region=IN,YouTubeVideo,2025-07-18,2356,0,2,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
67,67,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02000079459868213249,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02000079459868213249?region=IN,YouTubeVideo,2025-07-18,2356,1,2,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
68,68,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02280664888722325505,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02280664888722325505?region=IN,YouTubeVideo,2026-04-08,2356,0,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
69,69,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02280664888722325505,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02280664888722325505?region=IN,YouTubeVideo,2026-04-08,2356,1,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
70,70,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02280664888722325505,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02280664888722325505?region=IN,YouTubeVideo,2026-04-08,2356,2,4,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
71,71,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02280664888722325505,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02280664888722325505?region=IN,YouTubeVideo,2026-04-08,2356,3,4,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
72,72,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02292858000227958785,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02292858000227958785?region=IN,YouTubeVideo,2026-06-14,"2524,2586,2050,2356,2784",0,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
73,73,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02292858000227958785,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02292858000227958785?region=IN,YouTubeVideo,2026-06-14,"2524,2586,2050,2356,2784",1,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
74,74,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02292858000227958785,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02292858000227958785?region=IN,YouTubeVideo,2026-06-14,"2524,2586,2050,2356,2784",2,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
75,75,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02292858000227958785,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02292858000227958785?region=IN,YouTubeVideo,2026-06-14,"2524,2586,2050,2356,2784",3,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
76,76,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02292858000227958785,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02292858000227958785?region=IN,YouTubeVideo,2026-06-14,"2524,2586,2050,2356,2784",4,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
77,77,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02352052854409134081,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02352052854409134081?region=IN,YouTubeVideo,2026-03-27,2356,0,2,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
78,78,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02352052854409134081,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02352052854409134081?region=IN,YouTubeVideo,2026-03-27,2356,1,2,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
79,79,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02578210301614751745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02578210301614751745?region=IN,YouTubeVideo,2026-06-14,2356,0,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
80,80,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02578210301614751745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02578210301614751745?region=IN,YouTubeVideo,2026-06-14,2356,1,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
81,81,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02578210301614751745,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02578210301614751745?region=IN,YouTubeVideo,2026-06-14,2356,2,3,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
82,82,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02719062826374135809,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02719062826374135809?region=IN,YouTubeVideo,2025-11-25,2356,0,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
83,83,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02719062826374135809,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02719062826374135809?region=IN,YouTubeVideo,2025-11-25,2356,1,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
84,84,MySivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,India,IN,CR02719062826374135809,https://adstransparency.google.com/advertiser/AR00309923070552834049/creative/CR02719062826374135809?region=IN,YouTubeVideo,2025-11-25,2356,2,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
