row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
39,39,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08682293225135800321,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08682293225135800321?region=IN,Image,2026-06-14,"2442,2203,2724,2504,2300,2756,2276,2826,2638,2474,2642,2246,2144,2440,2348,2254,2250,2050,2705,2100,2616,2191,2372,2056,2356,2380,2620,2528,2703,2752",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16897353154047575764,,2026-06-15,
40,40,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08682293225135800321,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08682293225135800321?region=IN,Image,2026-06-14,"2442,2203,2724,2504,2300,2756,2276,2826,2638,2474,2642,2246,2144,2440,2348,2254,2250,2050,2705,2100,2616,2191,2372,2056,2356,2380,2620,2528,2703,2752",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16897353154047575764,,2026-06-15,
41,41,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08958116265403088897,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08958116265403088897?region=IN,Image,2026-06-14,"2348,2056,2100,2250,2499,2246,2792,2682,2804,2440,2300,2642,2352,2410,2392,2208,2807,2578,2203,2784,2442,2414,2380,2233,2752,2376,2428,2070,2356,2470,2616,2191,2620,2703,2705,2688,2528",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3048677373972775040,,2026-06-15,
42,42,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08958116265403088897,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08958116265403088897?region=IN,Image,2026-06-14,"2348,2056,2100,2250,2499,2246,2792,2682,2804,2440,2300,2642,2352,2410,2392,2208,2807,2578,2203,2784,2442,2414,2380,2233,2752,2376,2428,2070,2356,2470,2616,2191,2620,2703,2705,2688,2528",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3048677373972775040,,2026-06-15,
43,43,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09292026745483952129,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09292026745483952129?region=IN,YouTubeVideo,2026-06-14,"2276,2191,2440,2792,2674,2682,2705,2428,2818,2050,2196,2356,2372,2152,2233,2410,2032,2300,2208,2788,2203,2368,2764,2498,2352,2586,2608,2031,2804,2642,2638,2484,2620,2012,2616,2528,2100,2008,2470,2250,2170,2840,2703,2056,2688,2398,2862,2076,2724,2458,2360,2442,2380,2752,2504,2704,2756,2040,2578,2218,2144,2826,2604,2112,2348,2246",0,3,Con Busuu puoi superare le prove di l&#39;italiano. Esercitati con i madrelingua oggi stesso!,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
44,44,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09292026745483952129,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09292026745483952129?region=IN,YouTubeVideo,2026-06-14,"2276,2191,2440,2792,2674,2682,2705,2428,2818,2050,2196,2356,2372,2152,2233,2410,2032,2300,2208,2788,2203,2368,2764,2498,2352,2586,2608,2031,2804,2642,2638,2484,2620,2012,2616,2528,2100,2008,2470,2250,2170,2840,2703,2056,2688,2398,2862,2076,2724,2458,2360,2442,2380,2752,2504,2704,2756,2040,2578,2218,2144,2826,2604,2112,2348,2246",1,3,Installa,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
45,45,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09292026745483952129,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09292026745483952129?region=IN,YouTubeVideo,2026-06-14,"2276,2191,2440,2792,2674,2682,2705,2428,2818,2050,2196,2356,2372,2152,2233,2410,2032,2300,2208,2788,2203,2368,2764,2498,2352,2586,2608,2031,2804,2642,2638,2484,2620,2012,2616,2528,2100,2008,2470,2250,2170,2840,2703,2056,2688,2398,2862,2076,2724,2458,2360,2442,2380,2752,2504,2704,2756,2040,2578,2218,2144,2826,2604,2112,2348,2246",2,3,Con Busuu puoi superare le prove di l&#39;italiano. Esercitati con i madrelingua oggi stesso!,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
46,46,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09324229156138909697,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09324229156138909697?region=IN,YouTubeVideo,2026-06-14,"2191,2818,2250,2056,2705,2348,2642,2440,2276,2792,2804,2246,2788,2504,2300,2208,2203,2578,2756,2826,2040,2724,2372,2752,2380,2196,2032,2356,2050,2470,2528,2703,2442,2100,2616,2620,2076,2428,2840",0,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
47,47,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09324229156138909697,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09324229156138909697?region=IN,YouTubeVideo,2026-06-14,"2191,2818,2250,2056,2705,2348,2642,2440,2276,2792,2804,2246,2788,2504,2300,2208,2203,2578,2756,2826,2040,2724,2372,2752,2380,2196,2032,2356,2050,2470,2528,2703,2442,2100,2616,2620,2076,2428,2840",1,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
48,48,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09324229156138909697,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09324229156138909697?region=IN,YouTubeVideo,2026-06-14,"2191,2818,2250,2056,2705,2348,2642,2440,2276,2792,2804,2246,2788,2504,2300,2208,2203,2578,2756,2826,2040,2724,2372,2752,2380,2196,2032,2356,2050,2470,2528,2703,2442,2100,2616,2620,2076,2428,2840",2,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
49,49,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09324229156138909697,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09324229156138909697?region=IN,YouTubeVideo,2026-06-14,"2191,2818,2250,2056,2705,2348,2642,2440,2276,2792,2804,2246,2788,2504,2300,2208,2203,2578,2756,2826,2040,2724,2372,2752,2380,2196,2032,2356,2050,2470,2528,2703,2442,2100,2616,2620,2076,2428,2840",3,5,,,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
50,50,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09324229156138909697,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09324229156138909697?region=IN,YouTubeVideo,2026-06-14,"2191,2818,2250,2056,2705,2348,2642,2440,2276,2792,2804,2246,2788,2504,2300,2208,2203,2578,2756,2826,2040,2724,2372,2752,2380,2196,2032,2356,2050,2470,2528,2703,2442,2100,2616,2620,2076,2428,2840",4,5,,,,,,,,,,,,,,2026-06-15,html5-banner-no-mp4
51,51,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09600301837085310977,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09600301837085310977?region=IN,Image,2026-06-14,"2484,2250,2056,2705,2076,2620,2524,2104,2616,2116,2012,2818,2100,2214,2528,2360,2840,2356,2124,2032,2458,2703,2380,2191,2050,2752,2428,2724,2372,2203,2862,2566,2860,2604,2218,2764,2504,2300,2704,2231,2804,2586,2642,2440,2276,2792,2682,2170,2144,2608,2348",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/17948779057161612166,,2026-06-15,
52,52,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09600301837085310977,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09600301837085310977?region=IN,Image,2026-06-14,"2484,2250,2056,2705,2076,2620,2524,2104,2616,2116,2012,2818,2100,2214,2528,2360,2840,2356,2124,2032,2458,2703,2380,2191,2050,2752,2428,2724,2372,2203,2862,2566,2860,2604,2218,2764,2504,2300,2704,2231,2804,2586,2642,2440,2276,2792,2682,2170,2144,2608,2348",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/17948779057161612166,,2026-06-15,
53,53,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR11138142794705534977,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR11138142794705534977?region=IN,YouTubeVideo,2026-06-04,"2620,2840,2578,2056,2703,2203,2208,2380,2356,2752,2372,2246,2642,2276,2348,2250,2040,2724,2616,2528",0,1,Some controls cannot be shown due to the small ad.You can see it in fullscreen mode.,,,,,B7GCSviOVJI,https://www.youtube.com/watch?v=B7GCSviOVJI,,,,,,,2026-06-15,
54,54,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR11517009814165127169,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR11517009814165127169?region=IN,Image,2026-06-15,"2616,2276,2124,2840,2356,2100,2203,2724,2380,2348,2642,2250,2528,2040",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16655206518675765826,,2026-06-15,
55,55,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR12408200959556059137,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR12408200959556059137?region=IN,Image,2025-12-06,"2616,2356,2826,2724,2348,2642,2380,2440,2203,2100",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/8884310641036981127/index.html,,2026-06-15,
