page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-05-30,2026-06-03,2026-06-05,2026-06-15,2026-07-13,2026-07-20
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05797737440466698241,YouTubeVideo,winner,2026-06-03,2026-07-20,True,25,47,,25,,29,33,36
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05840666248475574273,YouTubeVideo,winner,2026-06-03,2026-07-20,True,26,47,,26,,30,34,37
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05848903763821068289,YouTubeVideo,winner,2026-06-03,2026-07-20,True,27,47,,27,,31,35,38
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04627131760205889537,YouTubeVideo,new,2026-07-20,2026-07-20,True,27,0,,,,,,27
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06323286294688432129,YouTubeVideo,winner,2026-06-03,2026-07-20,True,28,47,,28,,32,38,41
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04717270135767826433,YouTubeVideo,new,2026-07-20,2026-07-20,True,28,0,,,,,,28
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06697491101378412545,YouTubeVideo,winner,2026-06-03,2026-07-20,True,29,47,,29,,34,40,43
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06966997756581773313,YouTubeVideo,winner,2026-06-03,2026-07-20,True,30,47,,30,,35,41,45
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07002697181148741633,YouTubeVideo,winner,2026-06-03,2026-07-20,True,31,47,,31,,36,42,46
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07029952562572820481,YouTubeVideo,winner,2026-06-03,2026-07-20,True,32,47,,32,,37,43,47
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07351478238167695361,YouTubeVideo,winner,2026-06-03,2026-07-20,True,33,47,,33,,38,44,48
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07448877925958418433,YouTubeVideo,winner,2026-06-03,2026-07-20,True,34,47,,34,,39,45,49
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07648828350307237889,YouTubeVideo,winner,2026-06-03,2026-07-20,True,35,47,,35,,40,46,51
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07693579899486863361,YouTubeVideo,winner,2026-06-03,2026-07-20,True,36,47,,36,,41,47,52
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07918452859413200897,YouTubeVideo,winner,2026-06-03,2026-07-20,True,37,47,,37,,42,48,53
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08022515656387723265,YouTubeVideo,winner,2026-06-03,2026-07-20,True,38,47,,38,,43,49,54
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08023018158971420673,YouTubeVideo,winner,2026-06-03,2026-07-20,True,39,47,,39,,44,50,55
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08307899809251983361,YouTubeVideo,winner,2026-06-03,2026-07-20,True,40,47,,40,,45,52,57
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08553746967090429953,YouTubeVideo,winner,2026-06-03,2026-07-20,True,42,47,,42,,47,54,59
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08596523424019382273,YouTubeVideo,winner,2026-06-03,2026-07-20,True,43,47,,43,,48,55,60
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08671056955034304513,YouTubeVideo,winner,2026-06-03,2026-07-20,True,44,47,,44,,49,56,61
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06881249756719349761,YouTubeVideo,new,2026-07-20,2026-07-20,True,44,0,,,,,,44
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08807709001778200577,YouTubeVideo,winner,2026-06-03,2026-07-20,True,45,47,,45,,50,57,62
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09576800136818851841,YouTubeVideo,winner,2026-06-03,2026-07-20,True,46,47,,46,,52,60,66
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10123737112130879489,YouTubeVideo,winner,2026-06-03,2026-07-20,True,47,47,,47,,54,62,68
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10274052892952363009,YouTubeVideo,winner,2026-06-03,2026-07-20,True,48,47,,48,,55,63,69
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10303472285058596865,YouTubeVideo,winner,2026-06-03,2026-07-20,True,49,47,,49,,56,64,70
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10441594550647521281,YouTubeVideo,winner,2026-06-03,2026-07-20,True,50,47,,50,,57,65,71
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR07477273019904163841,YouTubeVideo,new,2026-07-20,2026-07-20,True,50,0,,,,,,50
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10504075192249090049,YouTubeVideo,winner,2026-06-03,2026-07-20,True,51,47,,51,,58,66,72
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10766543761853906945,YouTubeVideo,winner,2026-06-03,2026-07-20,True,52,47,,52,,59,67,73
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR10772811527888044033,YouTubeVideo,winner,2026-06-03,2026-07-20,True,53,47,,53,,60,68,74
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11628441744227434497,YouTubeVideo,winner,2026-06-03,2026-07-20,True,54,47,,54,,61,70,78
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12438457853105143809,YouTubeVideo,winner,2026-06-03,2026-07-20,True,55,47,,55,,63,72,82
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12605358461161570305,YouTubeVideo,winner,2026-06-03,2026-07-20,True,56,47,,56,,64,73,83
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12670613273679233025,YouTubeVideo,winner,2026-06-03,2026-07-20,True,57,47,,57,,65,74,84
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12848689592798281729,YouTubeVideo,winner,2026-06-03,2026-07-20,True,58,47,,58,,66,75,85
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12949108883116261377,YouTubeVideo,winner,2026-06-03,2026-07-20,True,59,47,,59,,67,77,87
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13189743763133562881,YouTubeVideo,winner,2026-06-03,2026-07-20,True,60,47,,60,,68,78,88
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13437940688989716481,YouTubeVideo,winner,2026-06-03,2026-07-20,True,61,47,,61,,69,79,89
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13529714313220063233,YouTubeVideo,winner,2026-06-03,2026-07-20,True,62,47,,62,,70,80,90
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13560433980905357313,YouTubeVideo,winner,2026-06-03,2026-07-20,True,63,47,,63,,71,81,91
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09246061773553926145,YouTubeVideo,new,2026-07-20,2026-07-20,True,63,0,,,,,,63
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14115625539762913281,YouTubeVideo,winner,2026-06-03,2026-07-20,True,64,47,,64,,74,87,99
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14190844538968342529,YouTubeVideo,winner,2026-06-03,2026-07-20,True,65,47,,65,,75,88,100
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14347703066810122241,YouTubeVideo,winner,2026-06-03,2026-07-20,True,66,47,,66,,76,89,101
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14916240669604315137,YouTubeVideo,winner,2026-06-03,2026-07-20,True,67,47,,67,,77,91,103
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14945050786239873025,YouTubeVideo,winner,2026-06-03,2026-07-20,True,68,47,,68,,78,92,104
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14988426906502692865,YouTubeVideo,winner,2026-06-03,2026-07-20,True,69,47,,69,,79,93,105
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15279559787193303041,YouTubeVideo,winner,2026-06-03,2026-07-20,True,70,47,,70,,81,95,107
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15420451026787893249,YouTubeVideo,winner,2026-06-03,2026-07-20,True,71,47,,71,,82,96,108
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR16935482366581800961,YouTubeVideo,winner,2026-06-03,2026-07-20,True,72,47,,72,,84,99,111
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17338713988187291649,YouTubeVideo,winner,2026-06-03,2026-07-20,True,73,47,,73,,86,102,114
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17988141080888999937,YouTubeVideo,winner,2026-06-03,2026-07-20,True,74,47,,74,,87,103,115
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR18102982871386947585,YouTubeVideo,winner,2026-06-03,2026-07-20,True,75,47,,75,,88,104,117
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11363390902845308929,YouTubeVideo,new,2026-07-20,2026-07-20,True,76,0,,,,,,76
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11496313474867265537,YouTubeVideo,new,2026-07-20,2026-07-20,True,77,0,,,,,,77
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12013703652163190785,YouTubeVideo,new,2026-07-20,2026-07-20,True,79,0,,,,,,79
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12064158041738575873,YouTubeVideo,new,2026-07-20,2026-07-20,True,80,0,,,,,,80
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13928577918725783553,YouTubeVideo,new,2026-07-20,2026-07-20,True,94,0,,,,,,94
