pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12295867928175181825,2026-06-03,267,61,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13437940688989716481,2026-06-03,364,61,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13529714313220063233,2026-06-03,369,62,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13560433980905357313,2026-06-03,373,63,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14115625539762913281,2026-06-03,406,64,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14190844538968342529,2026-06-03,410,65,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14347703066810122241,2026-06-03,415,66,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14916240669604315137,2026-06-03,420,67,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14945050786239873025,2026-06-03,423,68,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14988426906502692865,2026-06-03,427,69,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15279559787193303041,2026-06-03,435,70,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13654429752495177729,2026-06-03,310,71,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15420451026787893249,2026-06-03,439,71,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR16935482366581800961,2026-06-03,453,72,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17338713988187291649,2026-06-03,467,73,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17988141080888999937,2026-06-03,471,74,,YouTubeVideo,
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR18102982871386947585,2026-06-03,482,75,,YouTubeVideo,
